lon,lat,depth_m,adcirc_id,stwave_id,match_dist_m,have
-74.121564,40.494178,9.913305,3848,,,adcirc_only
-74.24533,40.49427,1.194948,11740,1450,0.0,both
-74.26263,40.49462,1.936356,11647,1357,0.0,both
-74.087788,40.495102,10.030993,3850,,,adcirc_only
-74.3259,40.4957,7.929166,11612,,,adcirc_only
-74.142371,40.495805,9.952518,3851,,,adcirc_only
-74.273482,40.495888,2.346335,3852,285,0.3,both
-74.2653,40.4961,8.450599,11646,1356,0.0,both
-74.1562,40.4966,7.961588,11683,,,adcirc_only
-74.2811,40.4968,8.977546,11568,,,adcirc_only
-74.222042,40.497484,9.642081,3853,286,0.5,both
-74.2709,40.4976,1.942487,11645,1355,0.0,both
-74.138811,40.498058,9.889114,3854,,,adcirc_only
-74.1441,40.4981,12.065382,11684,,,adcirc_only
-74.1048,40.4981,9.560118,11687,,,adcirc_only
-74.1174,40.4986,8.114738,11686,,,adcirc_only
-74.29206,40.4989,0.273563,11606,,,adcirc_only
-74.1286,40.4991,8.220652,11685,,,adcirc_only
-74.0917,40.4991,9.839848,11688,,,adcirc_only
-74.22569,40.49951,3.039782,11719,1429,0.0,both
-74.289,40.4999,1.780943,11605,,,adcirc_only
-74.286514,40.499971,1.816354,3855,,,adcirc_only
-74.159477,40.500037,9.869167,3856,,,adcirc_only
-74.31695,40.50038,1.787271,13751,,,adcirc_only
-74.221208,40.500383,4.000878,3857,290,0.4,both
-74.2585,40.5006,9.918759,11649,1359,0.0,both
-74.156146,40.501708,9.753636,3858,,,adcirc_only
-74.0791,40.502,10.131788,11689,,,adcirc_only
-74.314476,40.502383,2.555541,3859,,,adcirc_only
-74.21754,40.50252,1.922841,11720,1430,0.0,both
-74.211447,40.502689,9.062003,3860,293,0.3,both
-74.0826,40.5027,9.998377,3528,,,adcirc_only
-74.311508,40.502935,2.083606,3861,,,adcirc_only
-74.31267,40.50361,8.256733,13753,,,adcirc_only
-74.255564,40.50387,3.521353,3863,296,0.3,both
-74.3169,40.504,7.591659,11611,,,adcirc_only
-74.176688,40.504018,9.835543,3864,297,0.3,both
-74.28685,40.504543,7.207549,3865,,,adcirc_only
-74.316001,40.504913,8.617367,3867,,,adcirc_only
-74.173471,40.505387,10.029594,3868,301,0.3,both
-74.207817,40.505821,11.845444,3869,302,0.3,both
-73.921986,40.505961,9.005662,3870,303,0.4,both
-74.0529,40.5064,10.791579,11691,,,adcirc_only
-74.194339,40.506618,7.70431,3871,304,0.2,both
-73.937835,40.507713,10.214181,3872,305,0.5,both
-74.2886,40.5078,9.080578,11608,,,adcirc_only
-74.30149,40.50798,1.78336,13750,,,adcirc_only
-73.95452,40.508056,6.220187,3873,306,0.4,both
-74.190996,40.508123,12.141662,3874,307,0.5,both
-74.297434,40.508286,1.782461,3875,,,adcirc_only
-74.3117,40.5083,2.206221,3489,,,adcirc_only
